253	q	EOK(K)	 b(cc/	k10	k11	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
1167	1.8793	222.87	42.838	-0.7	2	0.0004	2516	2516	1	1	1	107186	ALLYLALCOHOL                  
1168	2.5918	244.06	74.786	-0.7	2	0.001	1280	3960	1	1	1	617947	2-PHENYL-2-PROPANOL           
1169	5.8559	196.97	101.039	-0.7	2	0.001	1280	3960	1	1	1	3913028	2-BUTYL-OCTAN-1-OL            
1170	3.4113	251.26	51.958	-0.7	2	0.0004	2013	2013	1	1	1	526750	23-XYLENOL                    
1171	3.7771	250.88	63.963	-0.7	2	0.001	540	1660	1	1	1	4286231	p-ISOPROPENYLPHENOL           
1172	3.4409	245.29	56.468	-0.7	2	0.0004	2013	2013	1	1	1	105679	24-XYLENOL                    
1174	3.6851	239.64	49.557	-0.7	2	0.0004	2013	2013	1	1	1	95874	25-XYLENOL                    
1176	3.0657	252.49	59.431	-0.7	2	0.0004	2013	2013	1	1	1	576261	26-XYLENOL                    
1177	3.7861	245.5	49.648	-0.7	2	0.0004	2013	2013	1	1	1	95658	34-XYLENOL                    
1178	3.363	250.26	70.219	-0.7	2	0.0004	2013	2013	1	1	1	108689	35-XYLENOL                    
1179	0.5216	438.17	57.255	-0.7	2	0.001	1280	3960	1	1	1	107197	PROPARGYLALCOHOL              
1180	2.6869	272.7	62.291	-0.7	2	0.0001	1280	3960	1	1	1	100516	BENZYLALCOHOL                 
1181	3.2342	246.49	40.41	-0.7	2	0.0004	880	1620	1	1	1	108952	PHENOL                        
1182	2.9004	255.78	51.721	-0.7	2	0.0004	2013	2013	1	1	1	95487	o-CRESOL                      
1183	3.2546	249.75	55.203	-0.7	2	0.001	255	2545	1	1	1	108394	m-CRESOL                      
1184	3.3103	247.06	48.716	-0.7	2	0.0004	2013	2013	1	1	1	106445	p-CRESOL                      
1185	3.1866	249.91	58.994	-0.7	2	0.0004	2013	2013	1	1	1	90006	o-ETHYLPHENOL                 
1186	3.6278	286.91	48.928	-0.7	2	0.001	540	1660	1	1	1	123319	p-HYDROQUINONE                
1187	3.4677	247.83	58.459	-0.7	2	0.0004	2013	2013	1	1	1	123079	p-ETHYLPHENOL                 
1197	3.5168	253.67	76.258	-0.7	2	0.001	540	1660	1	1	1	98544	p-tert-BUTYLPHENOL            
1198	6.0007	252.43	83.288	-0.7	2	0.0004	2013	2013	1	1	1	80057	bisPhenolA                    
1199	5.3072	236.33	111.78	-0.7	2	0.001	540	1660	1	1	1	25154523	NONYLPHENOL                   
1201	2.8904	260.47	33.156	-0.7	2	0.0004	2013	2013	2	1	1	107211	ETHYLENEGLYCOL                
1202	3.9647	245.94	54.435	-0.7	2	0.0004	2013	2013	2	1	1	111466	DIETHYLENEGLYCOL              
1204	4.0431	261.29	102.434	-0.7	2	0.0004	1280	3960	2	1	1	112607	TETRAETHYLENEGLYCOL           
1211	5.0832	184.69	33.465	-0.7	2	0.0004	1280	3960	2	1	1	57556	12-PROPYLENEGLYCOL            
1212	4.0277	235.23	25.785	-0.7	2	0.0004	2013	2013	2	1	1	504632	13-PROPYLENEGLYCOL            
1213	2.9846	252.2	78.011	-0.7	2	0.0004	1280	3960	2	1	1	25265718	DIPROPYLENEGLYCOL             
1219	3.1164	242.38	48.595	-0.7	2	0.0004	1280	3960	2	1	1	2163420	2-METHYL-13-PROPANEDIOL       
1220	2.5818	251.15	51.932	-0.7	2	0.0004	1280	3960	2	1	1	584032	12-BUTANEDIOL                 
1221	4.2269	218.55	55.456	-0.7	2	0.0004	2013	2013	2	1	1	107880	13-BUTANEDIOL                 
1222	5.8418	180.02	46.193	-0.7	2	0.0004	1280	3960	2	1	1	107415	HEXYLENEGLYCOL                
1231	3.7899	286.4	38.44	-0.7	2	0.0001	2013	2013	3	1	1	56815	Glycerol                      
1235	4.1923	251.04	68.196	-0.7	2	0.0004	1280	3960	2	1	1	98293	p-tert-BUTYLCATECHOL          
1236	3.1007	247.25	94.999	-0.7	2	0.0004	1280	3960	2	1	1	144194	224-TRIMETHYL-13-PENTANED     
