   13  501 1051  118 BENZENE ACETONE Mueller E., Stage H. (1961) Dargestellt am Beispiel des Siedeverhaltens von Fettsäuren, 1-117, 1961 
  390.35   .30811   .70000   .68300
  391.15   .30811   .80000   .78100
  392.75   .30811   .90000   .88500
   12  501 1821  242 BENZENE THIOPENE KUDRYAVTSEVA L.,VIIT H.,EIZEN O., EESTI NSV TEAD.AKAD.TOIM.,KEEM.GEOL. 20,292(1971).
  328.15   .03761   .00000   .00000
  328.15   .03873   .08800   .11300
  328.15   .03957   .16800   .20100
  328.15   .04041   .26100   .30500
  328.15   .04090   .32300   .36700
  328.15   .04154   .41100   .45200
  328.15   .04213   .50400   .54100
  328.15   .04266   .59800   .62900
  328.15   .04293   .65000   .67500
  328.15   .04346   .75000   .76900
  328.15   .04396   .85500   .86700
  328.15   .04447  1.00000  1.00000
   29 1864 1403  164 HEXAFLUOROBENZENE DIISOPROPYL MURRAY R.S.,MARTIN M.L., J.CHEM.THERMODYN.10,613(1978).
  298.13   .01987   .00000   .00000
  298.13   .01985   .00760   .00640
  298.13   .01980   .02550   .02160
  298.13   .01972   .05040   .04220
  298.13   .01964   .07200   .05940
  298.13   .01944   .13040   .10520
  298.13   .01905   .21720   .16890
  298.13   .01871   .28390   .21580
  298.13   .01840   .33960   .25410
  298.13   .01815   .38220   .28370
  298.13   .01789   .42170   .31090
  298.13   .01765   .45740   .33580
  298.13   .01742   .49020   .35950
  298.13   .01724   .51460   .37730
  298.13   .01707   .53680   .39380
  298.13   .01693   .55400   .40670
  298.13   .01670   .58090   .42740
  298.13   .01649   .60620   .44780
  298.13   .01620   .63960   .47570
  298.13   .01589   .67180   .50410
  298.13   .01547   .71260   .54250
  298.13   .01500   .75640   .58760
  298.13   .01449   .79790   .63510
  298.13   .01389   .84380   .69490
  298.13   .01327   .88580   .75800
  298.13   .01238   .94120   .85970
  298.13   .01212   .95540   .88980
  298.13   .01148   .98920   .97090
  298.13   .01126  1.00000  1.00000
   14 1501 1052  125 TETRACHLOROMETHANE 2-BUTANONE FOWLER R.T.,NORRIS G.S., J.APPL.CHEM.5,266(1955).
  352.70   .10133   .00000   .00000
  351.50   .10133   .07500   .10900
  350.05   .10133   .15300   .20600
  349.00   .10133   .23800   .30000
  348.25   .10133   .31000   .37400
  347.40   .10133   .41300   .46200
  347.10   .10133   .47600   .51600
  347.00   .10133   .60800   .62000
  346.85   .10133   .66400   .66300
  346.95   .10133   .71400   .70000
  347.30   .10133   .79900   .77100
  347.75   .10133   .85500   .82000
  348.95   .10133   .95000   .92900
  349.90   .10133  1.00000  1.00000
   23  137 1052  130 CYCLOHEXANE 2-BUTANONE KURMANADHARAO K.V.,RAO C.V., CHEM.ENG.SCI.7,97(1957).
  352.75   .10133   .00000   .00000
  350.95   .10133   .03000   .09500
  349.85   .10133   .05500   .14000
  348.25   .10133   .12000   .21500
  346.75   .10133   .19500   .30500
  345.35   .10133   .32000   .41000
  344.95   .10133   .40250   .45500
  344.75   .10133   .56250   .52000
  344.85   .10133   .60500   .54500
