1974 Chem_Info_ChemID	Min_T	Min_Val	Max_T	Max_Val	Avg_Dev	Num_Coeffs	A	B	C	D	E	Max_Dev	Max_Dev_T	Value
75	317.1499939	0.0035958	787	1056200	4.5	5	154.31	-18406	-17.694	3.9369E-18	6	21.79999924	509	DOCOSANE
76	320.6499939	0.0018685	796	1015000	1.399999976	5	219.83	-21841	-27.531	8.4197E-06	2	5.699999809	466	TRICOSANE
77	323.75	0.0013851	804	974420	2.099999905	5	211.42	-21711	-26.255	7.7485E-06	2	13.10000038	418	TETRACOSANE
78	326.6499939	0.00079876	812	941160	2.400000095	5	159.15	-19976	-18.161	3.0543E-18	6	9.800000191	527	PENTACOSANE
79	329.25	0.00051582	819	904860	4.199999809	5	155.64	-20116	-17.616	2.6734E-18	6	21	519	HEXACOSANE
80	332.1499939	0.00028312	826	872490	7.599999905	5	155.76	-20612	-17.548	2.3171E-18	6	34.40000153	374	HEPTACOSANE
81	334.3500061	0.00010446	832	841500	1.600000024	5	292.12	-28200	-37.544	0.00001135	2	4.199999809	508	OCTACOSANE
82	336.8500061	0.000068462	838	825440	3.799999952	5	208.56	-24971	-24.748	4.1617E-18	6	20.5	568	NONACOSANE
85	188.3500061	0.00056537	613	2163000	0.5	5	153.76	-10510	-20.802	0.018739	1	1.399999976	376	NONANE, 3-METHYL-
86	198.5	0.0024867	610	2119400	0.400000006	5	135.71	-10597	-16.769	0.000010148	2	2	395	NONANE, 2-METHYL-
87	174.4499969	0.00010807	610	2161600	0.400000006	5	70.092	-7764.2	-6.7262	7.0023E-18	6	1.799999952	356	NONANE, 4-METHYL-
88	185.4499969	0.00043846	610	2160500	0.400000006	5	89.456	-8797	-9.5261	1.2547E-17	6	2.099999905	344	NONANE, 5-METHYL
90	163	2.1959E-10	692	1570100	0.100000001	5	128.31	-11839	-15.333	6.9676E-06	2	0.300000012	457	NONANE, 2,2,4,4,6,8,8-HEPTAMETHYL-
91	192.7799988	0.01818	582.7999878	2302600	0.300000012	5	78.095	-7750.7	-7.9631	1.4327E-17	6	1.700000048	327	OCTANE, 2-METHYL-
92	165.5500031	0.000089861	590.1500244	2341900	0.400000006	5	76.001	-7646.1	-7.6591	1.159E-17	6	1.899999976	355	OCTANE, 3-METHYL-
93	159.9499969	0.00003177	587.6500244	2342300	0.899999976	5	74.254	-7515.6	-7.4138	1.1492E-17	6	2.599999905	305	OCTANE, 4-METHYL-
