24227 TRCID	CASRN	Nist-Kt
585	108418	4 15 1 18 1 109
586	108430	4 15 1 37 1 109
587	108441	4 15 1 18 1 79
588	108452	4 15 2 79
589	108463	4 15 2 37
590	108474	2 1 1 78
591	108485	2 1 1 78
592	108496	2 1 2 27 2 28 2 83
593	108554	3 27 1 97
594	108598	2 1 1 52 1 58
595	108601	2 1 1 3 1 61 2 99
596	108645	3 1 1 2 1 3 1 52
597	108656	1 1 1 2 1 3 1 51 1 59
598	108678	3 15 3 18
599	108689	3 15 2 18 1 37
600	108690	3 15 2 18 1 79
601	1087021	4 15 2 16 10 27 2 28
602	1087496	4 2 10 15 2 19
603	108758	2 15 3 18 1 82
604	108770	3 82 3 109
605	1088115	8 15 2 16 1 27 1 93 1 109 1 176
606	108827	4 1 2 2 3 3 1 204
607	108838	4 1 1 2 2 3 1 43
608	108850	5 27 1 28 1 130
609	108861	5 15 1 131
610	108883	5 15 1 18
611	108894	1 1 1 77
612	108907	5 15 1 109
613	108918	5 27 1 68
614	108930	5 27 1 28 1 204
615	108941	5 27 1 47
616	108952	5 15 1 37
617	108974	2 30 1 47 1 64
618	108985	5 15 1 150
619	108996	1 1 1 77
620	109002	1 77 1 205
621	109013	1 1 4 27 1 83 1 84
622	1090137	10 15 4 16 2 17 2 47
623	109024	1 1 3 27 1 63 1 84
624	109068	1 1 1 77
625	109079	1 1 3 27 1 28 2 83
626	109080	3 15 1 18 2 82
627	109091	1 77 1 110
628	109159	3 1 7 2 1 53
629	109193	3 1 3 2 1 3 1 52
630	109217	2 1 4 2 1 52
631	109295	15 27 1 47 1 64
632	109433	2 1 12 2 2 52
634	109499	2 2 1 5 1 42
635	109524	1 1 3 2 1 94
636	109535	2 1 1 3 1 5 1 60
637	109557	1 1 2 2 1 67 1 74
639	109604	1 1 2 2 1 51
640	109615	1 1 2 2 1 58 1 110
641	109648	3 2 2 130
642	109659	1 1 3 2 1 130
643	109660	2 1 3 2
644	109671	1 1 2 2 1 5
645	109693	1 1 2 2 1 99
646	109706	2 2 1 99 1 130
647	109739	1 1 2 2 1 67
648	109740	1 1 1 2 1 86
649	109751	1 5 1 86
650	109762	1 2 2 67
