765 ID	TcEos 	PcEos	ZcEos 	AcenEos
1737	728.96	5.296	0.3077	0.3778
1738	721.90	5.253	0.3070	0.3939
1741	626.99	8.562	0.3290	0.3380
1742	565.44	9.363	0.3149	0.1406
1744	622.08	2.989	0.3059	0.4334
1745	601.19	5.211	0.3096	0.2457
1748	798.02	5.297	0.3085	0.2941
1753	705.08	3.444	0.3044	0.4870
1756	844.00	4.040	0.3050	0.4670
1759	798.04	4.608	0.3079	0.3356
1760	602.82	7.158	0.2682	0.3076
1761	614.13	6.400	0.2958	0.2987
1762	630.51	5.314	0.2956	0.3085
1766	582.28	6.580	0.3225	0.2333
1769	651.31	4.815	0.3032	0.3435
1771	465.78	6.362	0.2007	0.3936
1772	542.07	4.962	0.1954	0.3961
1773	573.99	4.985	0.2560	0.3262
1774	588.23	7.727	0.3111	0.1734
1775	577.50	4.947	0.2802	0.2304
1781	902.96	6.854	0.3040	0.2638
1782	569.95	4.433	0.2810	0.3360
1783	652.32	5.194	0.3093	0.2633
1786	677.46	4.615	0.3089	0.2854
1791	631.95	6.473	0.3087	0.2227
1792	729.71	6.676	0.3175	0.2880
1793	770.99	4.102	0.3049	0.4720
1794	633.51	4.652	0.3084	0.3165
1795	727.98	5.768	0.3318	0.3444
1796	717.93	4.562	0.3083	0.3134
1797	634.48	5.354	0.3087	0.2712
1799	409.64	7.005	0.3096	0.2473
1801	477.45	7.854	0.3115	0.1273
1802	508.05	6.152	0.3106	0.1683
1803	560.92	5.532	0.3169	0.1318
1805	570.29	4.586	0.3104	0.2210
1806	564.25	4.522	0.3102	0.2197
1807	642.61	3.813	0.3092	0.3188
1808	706.55	2.904	0.3065	0.4414
1810	522.40	4.995	0.3108	0.1914
1811	687.13	4.775	0.3156	0.2023
1813	544.54	5.307	0.3100	0.2134
1814	577.18	4.661	0.3094	0.2518
1815	574.49	3.945	0.3096	0.2462
1818	573.91	4.618	0.3096	0.2368
1819	714.94	2.671	0.3049	0.4722
1820	512.51	6.303	0.3107	0.1714
1821	589.55	6.434	0.3108	0.1810
1824	659.49	4.418	0.3088	0.2839
1825	736.69	2.479	0.3041	0.5368
1826	739.11	3.076	0.3248	0.4329
1827	615.32	4.202	0.3099	0.2777
1828	620.36	5.877	0.3097	0.2080
1829	699.40	3.593	0.3076	0.3490
1839	667.21	3.451	0.3080	0.3575
1840	646.27	4.334	0.3100	0.2276
1842	719.13	5.694	0.3155	0.1661
1843	643.24	6.075	0.3101	0.1964
1844	738.30	7.105	0.2890	0.3232
1845	852.94	5.031	0.3070	0.3823
1851	516.56	5.941	0.2978	0.2620
1855	613.78	4.636	0.3096	0.2445
1856	730.28	4.915	0.3061	0.2988
1857	619.62	3.848	0.3079	0.3391
1860	572.37	5.278	0.3099	0.2211
1864	530.59	4.017	0.3075	0.3607
1876	696.06	6.118	0.2895	0.2263
1880	830.66	5.735	0.3051	0.4058
1889	705.87	6.900	0.3108	0.2390
1893	383.60	6.819	0.3145	0.0839
1894	459.79	6.072	0.3107	0.1846
1897	603.49	3.529	0.3039	0.5002
1904	333.96	9.630	0.3125	0.0884
1906	363.82	8.811	0.3146	0.0842
1907	419.56	8.239	0.3155	0.0643
1911	409.20	12.073	0.2776	0.2450
1921	649.05	22.500	0.2506	0.3383
1922	375.94	9.320	0.3165	0.0885
1925	576.23	5.749	0.3117	0.1472
1932	661.30	5.232	0.3128	0.1175
1935	457.04	5.066	0.3113	0.1611
1936	484.87	4.499	0.3107	0.1895
1937	514.78	4.063	0.3100	0.2239
1938	554.82	8.085	0.3142	0.0903
1940	322.99	4.089	0.3105	0.1957
1942	265.55	5.592	0.3068	0.3978
1950	554.18	5.958	0.3094	0.2165
1951	593.55	6.991	0.3129	0.1156
1961	456.79	4.952	0.3106	0.1923
1964	559.70	2.279	0.3057	0.4403
1965	526.04	2.171	0.3067	0.4025
1969	627.03	1.050	0.2949	0.7836
1971	561.59	3.716	0.3087	0.2602
1972	236.59	4.819	0.3130	0.1119
1980	427.05	4.299	0.3148	0.0764
1982	271.39	4.682	0.3169	0.0416
1983	293.42	4.240	0.3131	0.1093
1984	457.47	3.183	0.3101	0.2196
1987	372.34	5.730	0.3114	0.1571
1996	739.81	23.917	0.2988	0.3363
1997	664.60	27.025	0.2917	0.3105
2081	868.60	0.981	0.2774	1.2549
2082	854.87	0.750	0.2728	1.3765
2086	890.06	0.779	0.2708	1.4299
2095	626.50	2.669	0.3065	0.4086
2096	607.30	2.550	0.3057	0.4447
2097	614.94	2.599	0.3062	0.4227
2098	616.34	2.590	0.3060	0.4317
2099	616.18	2.579	0.3061	0.4264
2115	753.70	5.830	0.3273	0.3976
2181	685.68	4.410	0.3158	0.5934
2226	526.90	3.907	0.3092	0.2679
2240	535.67	3.336	0.3085	0.3112
2252	583.16	3.205	0.3083	0.3182
2259	805.29	2.061	0.3006	0.8061
2261	718.26	4.183	0.3163	0.5421
2281	819.03	5.169	0.2886	0.9600
2305	552.60	4.127	0.3073	0.3553
2321	532.36	3.388	0.3044	0.4776
2332	554.10	4.146	0.3077	0.3395
2337	564.93	3.570	0.3067	0.3865
2378	684.74	3.093	0.3009	0.6047
2384	597.64	3.443	0.3059	0.4333
2385	721.79	2.126	0.2979	0.6981
2386	711.92	3.078	0.3039	0.4984
2391	569.17	5.779	0.3083	0.3165
2414	562.85	3.719	0.3084	0.3131
2526	569.80	4.912	0.3089	0.2420
2593	754.81	4.808	0.3093	0.2588
2619	437.86	6.066	0.3070	0.2947
2627	435.38	4.218	0.3075	0.3421
2628	454.43	4.444	0.3073	0.3368
2629	385.60	3.477	0.3039	0.2874
2630	380.87	3.317	0.3065	0.3381
2631	419.98	3.941	0.3078	0.3468
2634	568.90	3.891	0.3063	0.3090
